# University Ranking Results - www.universityrankings.ch
# Ranking: Shanghai
# Year: all years
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                   ,  &nbsp;Year&nbsp;&nbsp;                       
   102-150  ,  University of Gent  , Belgium , 2007    
   102-150  ,  University of Gent  , Belgium , 2006    
   101-150  ,  Catholic University of Louvain  , Belgium , 2017    
   101-150  ,  Catholic University of Louvain  , Belgium , 2014    
   101-150  ,  Catholic University of Louvain  , Belgium , 2013    
   101-150  ,  Catholic University of Louvain  , Belgium , 2012    
   102-150  ,  Catholic University of Louvain  , Belgium , 2011    
   101-150  ,  Catholic University of Louvain  , Belgium , 2010    
   101-151  ,  Catholic University of Louvain  , Belgium , 2009    
   101-151  ,  Catholic University of Louvain  , Belgium , 2008    
   102-150  ,  Catholic University of Louvain  , Belgium , 2007    
   102-150  ,  Catholic University of Louvain  , Belgium , 2006    
   101-150  ,  Université Libre de Bruxelles  , Belgium , 2015    
   101-150  ,  Université Libre de Bruxelles  , Belgium , 2014    
   101-150  ,  Université Libre de Bruxelles  , Belgium , 2013    
   101-150  ,  Université Libre de Bruxelles  , Belgium , 2010    
   101-151  ,  Université Libre de Bruxelles  , Belgium , 2009    
   101-151  ,  Université Libre de Bruxelles  , Belgium , 2008    
   102-150  ,  Université Libre de Bruxelles  , Belgium , 2007    
   102-150  ,  Université Libre de Bruxelles  , Belgium , 2006    
   101-150  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2015    
   101-150  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2013    
   101-150  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2012    
   102-150  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2011    
   101-150  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2010    
   101-151  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2009    
   101-151  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2008    
   102-150  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2007    
   102-150  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2006    
   101-150  ,  University of Basel  , Switzerland , 2016    
   101-150  ,  University of Bern  , Switzerland , 2018    
   101-150  ,  University of Bern  , Switzerland , 2017    
   101-150  ,  University of Bern  , Switzerland , 2016    
   101-150  ,  University of Geneva  , Switzerland , 2010    
   101-151  ,  University of Geneva  , Switzerland , 2009    
   101-151  ,  University of Geneva  , Switzerland , 2008    
   102-150  ,  University of Geneva  , Switzerland , 2007    
   102-150  ,  University of Geneva  , Switzerland , 2006    
   101-150  ,  University of Lausanne  , Switzerland , 2018    
   101-150  ,  University of Freiburg  , Germany , 2018    
   101-150  ,  University of Freiburg  , Germany , 2017    
   101-150  ,  University of Freiburg  , Germany , 2016    
   101-150  ,  University of Freiburg  , Germany , 2015    
   101-150  ,  University of Freiburg  , Germany , 2014    
   102-150  ,  University of Freiburg  , Germany , 2011    
   101-150  ,  University of Freiburg  , Germany , 2010    
   101-151  ,  University of Freiburg  , Germany , 2009    
   102-150  ,  University of Würzburg  , Germany , 2011    
   101-150  ,  University of Würzburg  , Germany , 2010    
